epoch,train_loss,train_acc,val_loss,val_acc,lr
1,0.8992969381048325,0.6015833333333334,0.7264255893991348,0.7283333333333334,0.0003
2,0.709047351745849,0.6998333333333333,0.640768455698135,0.7153333333333334,0.0003
3,0.6687516662034583,0.7091666666666666,0.6140084114480526,0.7293333333333333,0.0003
4,0.6588637682985752,0.7079166666666666,0.6117204643310384,0.734,0.0003
5,0.6533117427470836,0.7106666666666667,0.6153704162607802,0.7306666666666667,0.0003
6,0.643650917296714,0.7198333333333333,0.6035960925386307,0.738,0.0003
7,0.6442876301230268,0.7184166666666667,0.6024766069777469,0.738,0.0003
8,0.6399094803219146,0.7154166666666667,0.6110786478570167,0.7433333333333333,0.0003
9,0.6334062174279639,0.7216666666666667,0.6056252851131114,0.7303333333333333,0.0003
10,0.6415502513025669,0.7190833333333333,0.6003668929668183,0.746,0.0003
11,0.6383831795859845,0.7179166666666666,0.6025878856790826,0.7393333333333333,0.0003
12,0.627913385471131,0.724,0.5962914260143929,0.7433333333333333,0.0003
13,0.6280397316242786,0.72825,0.5930253711152584,0.743,0.0003
14,0.6243377201100613,0.7293333333333333,0.6117251008114917,0.744,0.0003
15,0.6258634910621541,0.7301666666666666,0.5964961673351045,0.7466666666666667,0.0003
16,0.6192747565343025,0.7343333333333333,0.5865109436055447,0.751,0.0003
17,0.6154219847410283,0.74025,0.593749001939246,0.748,0.0003
18,0.6106008741449802,0.73875,0.5876639168313209,0.748,0.0003
19,0.6102157415861779,0.7390833333333333,0.5766519276385612,0.7556666666666667,0.0003
20,0.6060428069309985,0.7415833333333334,0.5925475466758647,0.7573333333333333,0.0003
21,0.5994969260819415,0.7455833333333334,0.5994970722401396,0.7423333333333333,0.0003
22,0.5957912311274954,0.7458333333333333,0.5685401057943384,0.758,0.0003
23,0.5984144385190721,0.7478333333333333,0.5939865315214117,0.752,0.0003
24,0.5924550875070247,0.7475833333333334,0.564434861883204,0.765,0.0003
25,0.5897796223772332,0.7516666666666667,0.5646907890096624,0.7646666666666667,0.0003
26,0.5929246478258295,0.75075,0.568053958897895,0.758,0.0003
27,0.5856750246058119,0.7573333333333333,0.5617730845796302,0.7666666666666667,0.0003
28,0.584112767684967,0.7545,0.600816012062925,0.7493333333333333,0.0003
29,0.5823510750494105,0.753,0.610351858620948,0.7346666666666667,0.0003
30,0.5748426581316806,0.7589166666666667,0.5847162490195417,0.75,0.0003
